url,Date,Level,name,type,extra
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/wood_grilled_peppercorn_sirloin_and_shrimp.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,wood_grilled_peppercorn_sirloin_and_shrimp,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/calamari_1800x614_core.jpg?sfvrsn=0&size=1125,menu-items,lunch-dinner,calamari_1800x614_core,jpg,sfvrsn=0&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/sweet_chili_shrimp.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,sweet_chili_shrimp,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/walts_favorite_shrimp.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,walts_favorite_shrimp,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/what-you-could-win.jpg,dist,images,what-you-could-win,jpg,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/jumbo_coconut_shrimp.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,jumbo_coconut_shrimp,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/wg-tacos.jpg?sfvrsn=2&size=1125,menu-items,wg-tacos.jpg?sfvrsn=2&size=1125,wg-tacos,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/kids/kids_broiled_fish.jpg?sfvrsn=2&size=1125,menu-items,kids,kids_broiled_fish,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/m_woodgrilled_lobsteshrimpsalmon_can.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,m_woodgrilled_lobsteshrimpsalmon_can,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/work-with-us/rl_desktop_careers-5.jpg?sfvrsn=0,work-with-us,rl_desktop_careers-5.jpg?sfvrsn=0,rl_desktop_careers-5,jpg,sfvrsn=0
