url,,,,,,,,,filename,,Server,Error,Duration,Charset,Description
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/garlic_shrimp_scampi.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,lobster_tacos.jpg?sfvrsn=2,,,,00:02.2,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/fried_oyster.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,shrimp_wood_grilled_chicken_usa.jpg?sfvrsn=2,,,,00:01.7,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wood_grilled_peppercorn_sirloin_and_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,kids,kids_popcorn_shrimp.jpg?sfvrsn=2,,,,00:02.1,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/jumbo_coconut_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,new!-lobsterfest-fizz.png?sfvrsn=0,,,,00:03.1,utf-8,
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/new!-chilled-lobster-and-shrimp-cocktail.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,m_woodgrilledcheeseburger_cheese_073.jpg?sfvrsn=2,,,,00:02.8,utf-8,
https://www.redlobster.com/docs/default-source/pdfs/us-fy17-endless-allergen-final-guide(2).pdf?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,new!-island-lobster-punch.png?sfvrsn=0,,Microsoft-IIS/8.5,,00:02.9,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wild-flounder-lunch.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,1800x614_snowcrablegs.jpg?sfvrsn=2,,,,00:02.6,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/m_woodgrilled_lobsteshrimpsalmon_us.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,wood_grilled_peppercorn_sirloin.jpg?sfvrsn=2,,,,00:02.5,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/crunchy_popcorn_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,rock_lobster_tail_us.jpg?sfvrsn=2,,,,00:03.0,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/lobster_tacos.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,kids,kids_macaroni_and_cheese.jpg?sfvrsn=2,,,,00:03.2,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/shrimp_wood_grilled_chicken_usa.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,coastal_soup_and_salad.jpg?sfvrsn=2,,,,00:03.0,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/kids/kids_popcorn_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,lunch_classic_caesar_salad.jpg?sfvrsn=2,,,,00:01.3,utf-8,
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/new!-lobsterfest-fizz.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,crablegs_1800x614_core.jpg?sfvrsn=0,,,,00:02.0,utf-8,
