url,,,,,,,,,name,type,extra
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/hand_breaded_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,hand_breaded_shrimp,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wood_grilled_skewers_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,wood_grilled_skewers_shrimp,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/center_cut_ny_strip_steak.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,center_cut_ny_strip_steak,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wild-flounder--dinner.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,wild-flounder--dinner,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/ny_strip_and_lobster_tail.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,ny_strip_and_lobster_tail,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/imagecomingsoon.jpg?Status=Master&sfvrsn=4,https:,,www.redlobster.com,images,default-source,images,menu-items,imagecomingsoon.jpg?Status=Master&sfvrsn=4,imagecomingsoon,jpg,Status=Master&sfvrsn=4
https://www.redlobster.com/images/default-source/images/menu-items/imagecomingsoon.jpg?sfvrsn=4,https:,,www.redlobster.com,images,default-source,images,menu-items,imagecomingsoon.jpg?sfvrsn=4,imagecomingsoon,jpg,sfvrsn=4
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/maple_glazed_chicken.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,maple_glazed_chicken,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/walts_favorite_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,walts_favorite_shrimp,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/kids/kids_chicken_fingers_ketchup.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,kids,kids_chicken_fingers_ketchup,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/garlic_shrimp_scampi.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,garlic_shrimp_scampi,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/fried_oyster.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,fried_oyster,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wood_grilled_peppercorn_sirloin_and_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,wood_grilled_peppercorn_sirloin_and_shrimp,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/jumbo_coconut_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,jumbo_coconut_shrimp,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/new!-chilled-lobster-and-shrimp-cocktail.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,new!-chilled-lobster-and-shrimp-cocktail,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wild-flounder-lunch.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,wild-flounder-lunch,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/m_woodgrilled_lobsteshrimpsalmon_us.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,m_woodgrilled_lobsteshrimpsalmon_us,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/crunchy_popcorn_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,crunchy_popcorn_shrimp,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/lobster_tacos.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,lobster_tacos,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/shrimp_wood_grilled_chicken_usa.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,shrimp_wood_grilled_chicken_usa,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/kids/kids_popcorn_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,kids,kids_popcorn_shrimp,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/new!-lobsterfest-fizz.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,new!-lobsterfest-fizz,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/m_woodgrilledcheeseburger_cheese_073.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,m_woodgrilledcheeseburger_cheese_073,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/new!-island-lobster-punch.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,new!-island-lobster-punch,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/1800x614_snowcrablegs.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,1800x614_snowcrablegs,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wood_grilled_peppercorn_sirloin.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,wood_grilled_peppercorn_sirloin,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/rock_lobster_tail_us.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,rock_lobster_tail_us,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/kids/kids_macaroni_and_cheese.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,kids,kids_macaroni_and_cheese,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/coastal_soup_and_salad.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,coastal_soup_and_salad,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/lunch_classic_caesar_salad.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,lunch_classic_caesar_salad,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/crablegs_1800x614_core.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,crablegs_1800x614_core,jpg,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/kids/kids_snow_crab.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,kids,kids_snow_crab,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/bananas-foster-cheesecake.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,bananas-foster-cheesecake,png,sfvrsn=0
https://www.redlobster.com/ResourcePackages/RedLobster/assets/dist/images/Hub_WhatWeServe_BG.jpg,https:,,www.redlobster.com,ResourcePackages,RedLobster,assets,dist,images,Hub_WhatWeServe_BG,jpg,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/crab_linguini_alfredo.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,crab_linguini_alfredo,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/events/big-festival-of-shrimp/big-festival-of-shrimp-image-2.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,events,big-festival-of-shrimp,big-festival-of-shrimp-image-2,jpg,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/maple-glazed-chicken-lunch-us.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,maple-glazed-chicken-lunch-us,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/crispy-calamari-and-vegetables-us.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,crispy-calamari-and-vegetables-us,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/news-press/media-downloads/582x352_korean_shrimp.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,news-press,media-downloads,582x352_korean_shrimp,jpg,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/kids/kids_broiled_fish.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,kids,kids_broiled_fish,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/bar_harbor_lobster_bake.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,bar_harbor_lobster_bake,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/shrimp_liguini_alfredo.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,shrimp_liguini_alfredo,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lighter-fare/lighter_fare_peppercorn_sirloin_and_shrimp_us.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lighter-fare,lighter_fare_peppercorn_sirloin_and_shrimp_us,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/half-lobster-and-langostino-pizzab6709fc52fd36f18be94ff4100d9e22d.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,half-lobster-and-langostino-pizzab6709fc52fd36f18be94ff4100d9e22d.jpg?sfvrsn=0,half-lobster-and-langostino-pizzab6709fc52fd36f18be94ff4100d9e22d,jpg,sfvrsn=0
https://www.redlobster.com/images/default-source/images/special-menu/especial-del-almuerzo-media-pizza-de-langosta-y-langostino.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,especial-del-almuerzo-media-pizza-de-langosta-y-langostino.jpg?sfvrsn=0,especial-del-almuerzo-media-pizza-de-langosta-y-langostino,jpg,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/lunch_tacos.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,lunch_tacos,jpg,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/mussels.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,mussels,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/parrot-isle-jumbo-coconut-shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,parrot-isle-jumbo-coconut-shrimp,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/lobster_bisque8b7999c52fd36f18be94ff0000d9e22d.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,lobster_bisque8b7999c52fd36f18be94ff0000d9e22d,jpg,sfvrsn=2
https://www.redlobster.com/ResourcePackages/RedLobster/assets/dist/images/main-area-bg.jpg,https:,,www.redlobster.com,ResourcePackages,RedLobster,assets,dist,images,main-area-bg,jpg,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/sweet-chili-shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,sweet-chili-shrimp,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/classic-caesar-salad.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,classic-caesar-salad,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/lobster-crab-and-seafood-stuffed-mushroom.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,lobster-crab-and-seafood-stuffed-mushroom,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobster-topped-caesar-salad.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobster-topped-caesar-salad.jpg?sfvrsn=0,lobster-topped-caesar-salad,jpg,sfvrsn=0
https://www.redlobster.com/images/default-source/images/special-menu/especial-del-almuerzo-langosta-sobre-ensalada-c%E9sar.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,especial-del-almuerzo-langosta-sobre-ensalada-c%E9sar.jpg?sfvrsn=0,especial-del-almuerzo-langosta-sobre-ensalada-c%E9sar,jpg,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/chicken_wings.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,chicken_wings,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lunch-special-lobster-roll-with-fries.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lunch-special-lobster-roll-with-fries.jpg?sfvrsn=0,lunch-special-lobster-roll-with-fries,jpg,sfvrsn=0
